grid_id,centroid_lat,centroid_lon,area_m2
G0439,28.64879876084129,77.32271978763775,107939.43525323099
G0440,28.653748905683273,77.32234331474484,148827.33907387414
G0441,28.657976696989277,77.32207025691649,192516.0734015226
G0442,28.66241559016585,77.32221385349723,187466.03771270145
G0443,28.66677254208741,77.32289680657608,127510.96700146605
G0444,28.669885799993967,77.32359340984499,22887.799347893582
G0445,28.69887712956029,77.32452497438528,26372.688584868367
G0446,28.70082429242993,77.32495926128422,62.54259331792689
G0447,28.713334430827693,77.32265991139847,104659.02504520857
G0448,28.716602999884437,77.32277649208906,250000.0
G0449,28.721112449474354,77.32287619869342,250000.0
G0450,28.72562189573872,77.3229759281772,250000.0
G0451,28.730131338677143,77.32307568054456,250000.0
G0452,28.734640778289233,77.32317545579969,250000.0
G0453,28.73915021457461,77.32327525394672,250000.0
G0454,28.743659647532876,77.32337507498983,250000.0
G0455,28.748169077163663,77.32347491893319,250000.0
G0456,28.752678503466573,77.32357478578093,250000.0
G0457,28.757187926441237,77.32367467553728,250000.0
G0458,28.761697346087246,77.32377458820638,250000.0
G0459,28.766206762404238,77.32387452379237,250000.0
G0460,28.770716175391808,77.32397448229948,250000.0
G0461,28.77522558504959,77.32407446373185,250000.0
G0462,28.77973499137718,77.32417446809364,250000.0
G0463,28.784244394374205,77.32427449538908,250000.0
G0464,28.788753794040275,77.3243745456223,250000.0
G0465,28.79326319037501,77.3244746187975,250000.0
G0466,28.797717210343066,77.32464275024613,242535.68461121456
G0467,28.800762074213257,77.32509097736403,59051.65104742402
G0468,28.632836037884648,77.32791472423756,7378.184390144412
G0469,28.63557739119027,77.32638081714221,214311.93114870382
G0470,28.639854143080903,77.32619659667726,250000.0
G0471,28.644363632813786,77.3262961332103,250000.0
G0472,28.648873119226312,77.32639569260232,250000.0
G0473,28.65338260231809,77.32649527485744,250000.0
G0474,28.657892082088747,77.32659487997984,250000.0
G0475,28.662401558537884,77.32669450797363,250000.0
G0476,28.666911031665105,77.326794158843,250000.0
G0477,28.671365096284934,77.32699018776941,240010.5538380691
G0478,28.67589903018986,77.32736230758003,213693.2338156533
G0479,28.678309922688253,77.32829530728186,9354.855588968994
G0480,28.691032996195645,77.3294502642462,13662.209380122024
G0481,28.694375018438713,77.32836364372676,141022.2327818887
G0482,28.698495585987246,77.32751489479806,247686.20250378377
G0483,28.702939866931615,77.32788714945627,220466.8411277256
G0484,28.707477353935523,77.32794081304355,225183.37026742543
G0485,28.71214539402576,77.32842267972325,132510.28618360969
G0486,28.716515016708325,77.32789182938157,250000.0
G0487,28.721024449942547,77.32799175508192,250000.0
G0488,28.725533879849845,77.3280917037119,250000.0
G0489,28.730043306429828,77.3281916752757,250000.0
G0490,28.734552729682107,77.32829166977749,250000.0
G0491,28.73906214960631,77.32839168722141,250000.0
G0492,28.743571566202032,77.32849172761168,250000.0
G0493,28.748080979468895,77.32859179095243,250000.0
G0494,28.752590389406524,77.32869187724788,250000.0
G0495,28.757099796014522,77.32879198650218,250000.0
G0496,28.761609199292508,77.32889211871951,250000.0
G0497,28.766118599240095,77.32899227390405,250000.0
G0498,28.770627995856888,77.32909245206,250000.0
G0499,28.775137389142518,77.3291926531915,250000.0
G0500,28.779646779096584,77.32929287730279,250000.0
G0501,28.784156165718716,77.32939312439802,250000.0
G0502,28.788665549008524,77.3294933944814,250000.0
G0503,28.79317492896562,77.32959368755711,250000.0
G0504,28.79759926973832,77.32962148619185,239774.82302901082
G0505,28.80018948141292,77.32797527645005,8415.334014751363
G0506,28.632453161212293,77.33101413547608,57989.6182029639
G0507,28.63525676847058,77.33120846228908,250000.0
G0508,28.63976624515646,77.33130819415686,250000.0
G0509,28.644275718521016,77.33140794892951,250000.0
G0510,28.648785188563846,77.33150772661119,250000.0
G0511,28.653294655284558,77.33160752720605,250000.0
G0512,28.657804118682783,77.33170735071826,250000.0
G0513,28.66231357875812,77.33180719715196,250000.0
G0514,28.666823035510188,77.33190706651132,250000.0
G0515,28.671332488938596,77.33200695880049,250000.0
G0516,28.675841939042957,77.33210687402367,250000.0
G0517,28.679934949479364,77.33297990219297,157124.72397979524
G0518,28.685000270366245,77.33324613728286,156256.45154552435
G0519,28.689489328075,77.3326019957269,228885.42161478425
G0520,28.69387970621221,77.33250676433937,250000.0
G0521,28.69838913969054,77.3326067942949,250000.0
G0522,28.702898569842507,77.33270684720942,250000.0
G0523,28.707407996667722,77.3328069230871,250000.0
G0524,28.71190998075479,77.33292216096486,248358.2880322777
G0525,28.71642684033634,77.3330071437486,250000.0
G0526,28.72093625717897,77.33310728854077,250000.0
G0527,28.725445670693308,77.3332074563128,250000.0
G0528,28.729955080878955,77.33330764706886,250000.0
G0529,28.734464487735533,77.33340786081313,250000.0
G0530,28.738973891262656,77.3335080975498,250000.0
G0531,28.74348329145993,77.33360835728303,250000.0
G0532,28.74799268832697,77.33370864001702,250000.0
G0533,28.75250208186341,77.33380894575595,250000.0
G0534,28.757011472068832,77.33390927450402,250000.0
G0535,28.761520858942866,77.33400962626543,250000.0
G0536,28.766030242485133,77.33411000104432,250000.0
G0537,28.770539622695235,77.33421039884492,250000.0
G0538,28.775048999572796,77.33431081967142,250000.0
G0539,28.779558373117414,77.33441126352798,250000.0
G0540,28.784067743328723,77.33451173041885,250000.0
G0541,28.788577110206333,77.33461222034818,250000.0
