grid_id,centroid_lat,centroid_lon,ndvi,ndbi,lst_celsius
G1137,28.823300088160405,77.41222296899923,0.31958464,0.02619491,44.802734
G1138,28.82780917433366,77.41232697044498,0.34502494,-0.048082523,40.308044
G1139,28.832318257148277,77.41243099572756,0.5046787,-0.17502554,39.949127
G1140,28.836368268399852,77.4129407511584,0.57325435,-0.15373026,40.140533
G1141,28.841757108020477,77.41413055773451,0.5530927,-0.16537419,40.87201
G1142,28.84597825804673,77.41296192769245,0.67413074,-0.25999027,35.509125
G1143,28.850354554812714,77.41284733531296,0.5390356,-0.17635415,40.287506
G1144,28.85486362082836,77.41295147984485,0.4148655,-0.022451049,45.09326
G1145,28.859372683483016,77.41305564823966,0.57402194,-0.2284278,41.941864
G1146,28.86388174277632,77.41315984050176,0.5564752,-0.12228781,40.93695
G1147,28.86839079870788,77.41326405663553,0.4990516,-0.1060355,40.967712
G1148,28.872899851277303,77.41336829664527,0.4116076,-0.050170943,46.36136
G1149,28.8768593193065,77.4136015427742,0.32041356,0.015901778,46.04007
G1150,28.630581052747864,77.41292248402036,0.15303476,0.060568918,48.69928
G1151,28.633824479301555,77.4129873824086,0.20271394,0.054105125,47.868683
